Sexo;Estado;Cidade;Força;Posto Graduação;Possui Medalha de <br /> Mérito Desportivo Militar;Modalidade;Possui Bolsa Atleta;PAAR
Feminino;;;MB;Terceiro Sargento;Não;Vela;Não;Sim
Masculino;;;MB;Terceiro Sargento;Não;Atletismo;Sim;Sim
Masculino;SP;Iperó;MB;Terceiro Sargento;Não;Paraquedismo;Não;Sim
Masculino;BA;Salvador;MB;Terceiro Sargento;Não;Boxe;Não;Sim
Masculino;SP;Diadema;MB;Terceiro Sargento;Não;Atletismo;Sim;Sim
Masculino;BA;Salvador;MB;Terceiro Sargento;Não;Maratonas Aquáticas;Sim;Sim
Masculino;RS;PORTO ALEGRE;MB;Terceiro Sargento;Não;Atletismo;Sim;Sim
Masculino;SP;CATANDUVA;MB;Terceiro Sargento;Sim;Atletismo;Sim;Sim
Masculino;;;MB;Terceiro Sargento;Sim;Vôlei de Praia;Sim;Sim
Feminino;;;MB;Terceiro Sargento;Não;Vela;Não;Sim
Masculino;RJ;Rio de Janeiro;FAB;Suboficial R/1;Sim;Judô;Não;Sim
Feminino;SP;SÃO PAULO;MB;Terceiro Sargento;Não;Atletismo;Sim;Sim
Feminino;;;MB;Terceiro Sargento;Sim;Vela;Não;Sim
Feminino;;;MB;Terceiro Sargento;Sim;Maratonas Aquáticas;Sim;Sim
Feminino;SP;Sao Paulo;MB;Terceiro Sargento;Não;Maratona;Sim;Sim
Feminino;;;MB;Terceiro Sargento;Não;Futebol;Não;Sim
Feminino;SP;BRAGANÇA PAULIS;MB;Terceiro Sargento;Sim;Atletismo;Sim;Sim
Feminino;DF;Brasília ;FAB;Terceiro Sargento;Não;Tiro;Sim;Sim
Masculino;;;MB;Terceiro Sargento;Não;Vôlei de Praia;Sim;Sim
Masculino;RJ;Niterói ;MB;Terceiro Sargento;Não;Vela;Não;Sim
Feminino;;;MB;Terceiro Sargento;Não;Futebol;Não;Sim
Masculino;SP;São Paulo;MB;Terceiro Sargento;Não;Boxe;Não;Sim
Masculino;;;FAB;Terceiro Sargento;Não;Atletismo;Sim;Sim
Feminino;;;FAB;Terceiro Sargento;Não;Atletismo;Não;Sim
Feminino;;;EB;Terceiro Sargento;Sim;Atletismo;Sim;Sim
Masculino;;;EB;Soldado;Não;Vôlei;Sim;Sim
Masculino;;;FAB;Terceiro Sargento;Sim;Atletismo;Sim;Sim
Masculino;RS;POA;EB;Soldado;Não;Maratonas Aquáticas;Sim;Sim
Masculino;;;FAB;Terceiro Sargento;Não;Basquete;Não;Sim
Masculino;;;EB;Terceiro Sargento R/1;Não;Esgrima;Sim;Sim
Feminino;;;EB;Terceiro Sargento;Não;Judô;Não;Sim
Masculino;;;EB;Terceiro Sargento;Sim;Atletismo;Não;Sim
Feminino;;;FAB;Terceiro Sargento;Não;Basquete;Não;Sim
Feminino;;;FAB;Terceiro Sargento;Não;Natação;Sim;Sim
Masculino;RJ;Campos;MB;Terceiro Sargento;Não;Taekwondo;Sim;Sim
Feminino;;;EB;Terceiro Sargento;Sim;Esgrima;Sim;Sim
Feminino;;;EB;Terceiro Sargento;Não;Judô;Sim;Sim
Feminino;;;EB;Terceiro Sargento;Não;Vôlei;Sim;Sim
Feminino;SP;Cotia;EB;Terceiro Sargento;Não;Esgrima;Sim;Sim
Feminino;SP;Boituva;EB;Terceiro Sargento;Não;Paraquedismo;Não;Sim
Feminino;;;EB;Terceiro Sargento;Não;Esgrima;Sim;Sim
Feminino;;;EB;Terceiro Sargento;Sim;Vôlei de Praia;Sim;Sim
Masculino;RJ ;Rio de Janeiro ;EB;Terceiro Sargento;Sim;Futebol;Não;Sim
Masculino;;;EB;Terceiro Sargento;Sim;Natação;Sim;Sim
Masculino;;;FAB;Terceiro Sargento;Não;Basquete;Sim;Sim
Feminino;TO;Palmas;MB;Terceiro Sargento;Não;Canoagem Velocidade;Sim;Sim
Feminino;;;EB;Terceiro Sargento;Não;Vôlei;Não;Sim
Masculino;RJ;Rio de Janeiro;MB;Terceiro Sargento;Não;Lutas Associadas (Wrestling);Não;Sim
Masculino;;;EB;Soldado;Não;Pentatlo Moderno;Não;Sim
Masculino;SP;;FAB;Terceiro Sargento;Sim;Ginástica Artística;Sim;Sim
Masculino;;;FAB;Terceiro Sargento;Sim;Ginástica Artística;Sim;Sim
Masculino;DF;Brasília;MB;Segundo-Tenente R/1;Sim;Futebol;Sim;Sim
Masculino;MG;BELO HORIZONTE;FAB;Terceiro Sargento;Não;Basquete;Não;Sim
Feminino;MG;Juiz de Fora;MB;Terceiro Sargento;Sim;Boxe;Sim;Sim
Masculino;SP;São Paulo;MB;Terceiro Sargento;Sim;Natação;Sim;Sim
Feminino;RS;Porto Alegre ;MB;Terceiro Sargento;Não;Judô;Sim;Sim
Feminino;SP;SÃO PAULO;MB;Terceiro Sargento;Sim;Atletismo;Sim;Sim
Feminino;;;MB;Terceiro Sargento;Sim;Vela;Não;Sim
Masculino;;;FAB;Terceiro Sargento;Sim;Tiro com Arco;Sim;Sim
Feminino;;;EB;Terceiro Sargento;Não;Maratonas Aquáticas;Sim;Sim
Feminino;RJ;Rio de Janeiro;MB;Terceiro Sargento;Não;Pentatlo Moderno;Não;Sim
Feminino;RJ;Nilopolis ;FAB;Terceiro Sargento;Não;Tiro;Sim;Sim
Feminino;;;EB;Terceiro Sargento;Não;Pentatlo Militar;Não;Sim
Feminino;;;MB;Terceiro Sargento;Não;Levantamento de Peso;Sim;Sim
Feminino;SP;Boituva ;EB;Terceiro Sargento;Não;Paraquedismo;Não;Sim
Feminino;;;EB;Terceiro Sargento;Não;Vôlei;Sim;Sim
Masculino;RJ;Rio de Janeiro;EB;Soldado;Não;Judô;Não;Sim
Masculino;ES ;Vila Velha ;MB;Terceiro Sargento;Sim;Vôlei de Praia;Sim;Sim
Masculino;;;EB;Terceiro Sargento;Não;Esgrima;Sim;Sim
Feminino;BA;Camaçari;MB;Terceiro Sargento;Não;Boxe;Sim;Sim
Feminino;RJ;Rio de Janeiro ;MB;Terceiro Sargento;Sim;Vôlei de Praia;Sim;Sim
Masculino;SP;Guarulhos;MB;Terceiro Sargento;Não;Boxe;Sim;Sim
Masculino;RJ;Rio de Janeiro;MB;Terceiro Sargento;Não;Lutas Associadas (Wrestling);Sim;Sim
Feminino;SP;São Paulo;MB;Terceiro Sargento;Não;Taekwondo;Não;Sim
Feminino;SP;São José dos Ca;MB;Terceiro Sargento;Não;Futebol;Não;Sim
Masculino;SE;Aracaju;MB;Terceiro Sargento;Não;Boxe;Não;Sim
Feminino;CE;Euzébio;MB;Terceiro Sargento;Não;Vôlei de Praia;Não;Sim
Feminino;;;FAB;Terceiro Sargento;Não;Taekwondo;Sim;Sim
Feminino;RJ;RIO DE JANEIRO;MB;Terceiro Sargento R/1;Sim;Atletismo;Sim;Sim
Feminino;SP;São Paulo;MB;Terceiro Sargento;Não;Natação;Sim;Sim
Feminino;;;MB;Terceiro Sargento;Não;Golfe;Não;Sim
Masculino;AL;Maceió;MB;Terceiro Sargento;Não;Boxe;Sim;Sim
Masculino;MG;Belo Horizonte;FAB;Terceiro Sargento;Não;Ginástica Artística;Sim;Sim
Masculino;;;FAB;Terceiro Sargento;Sim;Atletismo;Sim;Sim
Feminino;;;FAB;Terceiro Sargento;Não;Basquete;Sim;Sim
Feminino;RJ;Niterói;MB;Terceiro Sargento R/1;Não;Lifesaving;Sim;Sim
Masculino;;;MB;Terceiro Sargento;Não;Lifesaving;Não;Sim
Masculino;;;EB;Soldado;Não;Boxe;Sim;Sim
Masculino;RJ;RIO DE JANEIRO;MB;Capitão de Mar e Guerra RM1;Sim;Pentatlo Naval;Não;Sim
Masculino;RJ;Duque de Caxias;MB;Terceiro Sargento;Não;Boxe;Sim;Sim
Masculino;RS;Porto Alegre;MB;Terceiro Sargento;Não;Judô;Sim;Sim
Masculino;;;MB;Terceiro Sargento;Não;Golfe;Não;Sim
Masculino;RJ;Itaboraí;MB;Terceiro Sargento;Não;Taekwondo;Sim;Sim
Masculino;RJ;Rio de Janeiro;MB;Terceiro Sargento;Não;Boxe;Não;Sim
Masculino;MG;Belo Horizonte;FAB;Terceiro Sargento;Sim;Tiro com Arco;Sim;Sim
Masculino;CE;Fortaleza;FAB;Terceiro Sargento;Não;Triatlo;Sim;Sim
Masculino;RJ;;EB;Terceiro Sargento;Não;Pentatlo Moderno;Sim;Sim
Masculino;GO;Goiania ;FAB;Terceiro Sargento;Não;Basquete;Sim;Sim
Masculino;RS ;Porto Alegre ;EB;Terceiro Sargento R/1;Não;Judô;Sim;Sim
Masculino;;;EB;Terceiro Sargento;Sim;Judô;Sim;Sim
Masculino;SP;São Paulo;FAB;Terceiro Sargento;Não;Atletismo;Sim;Sim
Masculino;MG;Belo Horizonte;EB;Terceiro Sargento;Não;Natação;Sim;Sim
Masculino;MG;Belo Horizonte;FAB;Terceiro Sargento;Não;Triatlo;Sim;Sim
Feminino;;;EB;Terceiro Sargento;Não;Triatlo;Sim;Sim
Feminino;;;EB;Terceiro Sargento;Não;Paraquedismo;Não;Sim
Feminino;GO;Aparecida de GO;MB;Terceiro Sargento;Não;Taekwondo;Sim;Sim
Masculino;SP;Rio Claro;MB;Terceiro Sargento;Não;Taekwondo;Sim;Sim
Masculino;BA;Salvador;MB;Terceiro Sargento;Não;Boxe;Sim;Sim
Feminino;;;MB;Terceiro Sargento;Não;Levantamento de Peso;Não;Sim
Masculino;RJ;Rio de Janeiro;MB;Terceiro Sargento;Não;Lutas Associadas (Wrestling);Sim;Sim
Feminino;SP;São Paulo;MB;Terceiro Sargento;Sim;Natação;Sim;Sim
Masculino;RJ;rio de janeiro;MB;Cabo;Sim;Vôlei de Praia;Sim;Sim
Masculino;;;FAB;Terceiro Sargento;Não;Tiro com Arco;Sim;Sim
Feminino;;;EB;Terceiro Sargento;Não;Vôlei de Praia;Sim;Sim
Masculino;;;EB;Soldado;Não;Atletismo;Sim;Sim
Masculino;;;EB;Terceiro Sargento;Não;Futebol;Não;Sim
Masculino;SP ;São Bernardo ;EB;Terceiro Sargento;Não;Judô;Sim;Sim
Feminino;;;FAB;Terceiro Sargento;Não;Atletismo;Sim;Sim
Feminino;;;EB;Terceiro Sargento;Não;Pentatlo Militar;Não;Sim
Feminino;;;EB;Terceiro Sargento;Sim;Vôlei;Não;Sim
Masculino;RS;Erechim;EB;Terceiro Sargento;Não;Tiro;Não;Sim
Masculino;;;EB;Terceiro Sargento;Não;Judô;Sim;Sim
Masculino;;;MB;Terceiro Sargento;Sim;Canoagem Velocidade;Não;Sim
Feminino;;;EB;Terceiro Sargento;Não;Pentatlo Militar;Não;Sim
Feminino;SP;Guarulhos ;FAB;Terceiro Sargento;Não;Basquete;Não;Sim
Masculino;SP;Ribeirão Preto;MB;Terceiro Sargento;Sim;Natação;Não;Sim
Masculino;RJ;Rio de Janeiro;MB;Segundo Sargento;Sim;Pentatlo Naval;Não;Sim
Masculino;SP;SÃO PAULO;MB;Terceiro Sargento;Não;Atletismo;Sim;Sim
Masculino;RJ;Rio de Janeiro;MB;Terceiro Sargento;Não;Boxe;Não;Sim
Masculino;PE;Recife;FAB;Terceiro Sargento;Sim;Pentatlo Moderno;Sim;Sim
Feminino;PR;Curitiba;MB;Terceiro Sargento;Não;Natação;Sim;Sim
Masculino;SP;São Paulo;FAB;Terceiro Sargento;Não;Ginástica Artística;Sim;Sim
Masculino;;;EB;Terceiro Sargento;Não;Vôlei;Não;Sim
Masculino;SP;Limeira;FAB;Terceiro Sargento;Não;Basquete;Não;Sim
Masculino;5562;;FAB;Terceiro Sargento;Não;Atletismo;Sim;Sim
Feminino;;;FAB;Terceiro Sargento;Não;Lifesaving;Sim;Sim
Masculino;RS;Porto Alegre;FAB;Terceiro Sargento;Não;Maratonas Aquáticas;Não;Sim
Masculino;;;EB;Soldado;Não;Futebol;Não;Sim
Masculino;MG;Belo Horizonte;EB;Terceiro Sargento;Não;Natação;Sim;Sim
Feminino;;;EB;Terceiro Sargento;Não;Boxe;Sim;Sim
Masculino;;;EB;Soldado;Não;Futebol;Não;Sim
Masculino;RJ;Mesquita;EB;Segundo Sargento;Não;Atletismo;Não;Sim
Masculino;;;MB;Terceiro Sargento;Não;Pesca Submarina;Não;Sim
Masculino;RJ;Rio de Janeiro;MB;Terceiro Sargento;Não;Pentatlo Moderno;Não;Sim
Masculino;;;MB;Terceiro Sargento;Sim;Vela;Não;Sim
Feminino;;;MB;Terceiro Sargento;Não;Vela;Não;Sim
Feminino;SP;Santos;MB;Terceiro Sargento;Sim;Natação;Sim;Sim
Feminino;;;MB;Terceiro Sargento;Não;Futebol;Não;Sim
Masculino;;;MB;Terceiro Sargento;Não;Vela;Não;Sim
Feminino;;;MB;Terceiro Sargento;Não;Levantamento de Peso;Não;Sim
Masculino;;;MB;Terceiro Sargento;Não;Maratona;Sim;Sim
Feminino;;;MB;Terceiro Sargento;Não;Nado Sincronizado;Sim;Sim
Feminino;RJ;Rio de Janeiro;MB;Terceiro Sargento;Não;Lutas Associadas (Wrestling);Sim;Sim
Feminino;SP;Mogi das Cruzes;MB;Terceiro Sargento;Não;Boxe;Sim;Sim
Masculino;RJ;Rio de Janeiro;MB;Terceiro Sargento;Sim;Natação;Sim;Sim
Masculino;RS;Porto Alegre ;MB;Terceiro Sargento;Sim;Vela;Não;Sim
Masculino;SP;Santo André;MB;Terceiro Sargento;Não;Taekwondo;Sim;Sim
Masculino;;;EB;Terceiro Sargento;Não;Atletismo;Sim;Sim
Masculino;RJ;Rio de Janeiro;MB;Primeiro-Tenente;Não;Canoagem Slalom;Não;Sim
Masculino;;;EB;Soldado;Sim;Atletismo;Não;Sim
Masculino;;;FAB;Terceiro Sargento;Sim;Natação;Não;Sim
Feminino;;;FAB;Terceiro Sargento;Não;Basquete;Não;Sim
Feminino;;;FAB;Terceiro Sargento;Não;Basquete;Não;Sim
Feminino;;;EB;Terceiro Sargento;Não;Vôlei;Não;Sim
Feminino;SC;Joinville;EB;Terceiro Sargento;Não;Tiro;Sim;Sim
Masculino;;;EB;Tenente Coronel R/1;Não;Futebol;Não;Sim
Feminino;;;EB;Terceiro Sargento;Não;Natação;Sim;Sim
Masculino;;;EB;Terceiro Sargento;Sim;Esgrima;Sim;Sim
Masculino;;;EB;Terceiro Sargento;Não;Judô;Sim;Sim
Masculino;;;EB;Terceiro Sargento;Não;Natação;Sim;Sim
Masculino;;;FAB;Terceiro Sargento;Não;Atletismo;Sim;Sim
Masculino;SP;Bauru;FAB;Terceiro Sargento;Não;Basquete;Não;Sim
Masculino;;;FAB;Terceiro Sargento;Não;Lifesaving;Não;Sim
Masculino;SP;Ribeirão Preto;MB;Terceiro Sargento;Não;Golfe;Sim;Sim
Masculino;;;EB;Terceiro Sargento;Sim;Vôlei de Praia;Não;Sim
Masculino;BA;Salvador;MB;Terceiro Sargento;Sim;Boxe;Sim;Sim
Masculino;RJ;Rio de Janeiro ;EB;Soldado;Não;Futebol;Não;Sim
Masculino;MG;Uberlandia ;FAB;Terceiro Sargento;Não;Basquete;Não;Sim
Feminino;RJ;Rio de Janeiro ;EB;Terceiro Sargento;Não;Paraquedismo;Não;Sim
Masculino;;;EB;Soldado;Não;Atletismo;Não;Sim
Masculino;MT;Cuiabá;MB;Terceiro Sargento;Não;Lutas Associadas (Wrestling);Sim;Sim
Feminino;;;FAB;Terceiro Sargento;Não;Lifesaving;Não;Sim
Feminino;PR;Curitiba;EB;Terceiro Sargento;Não;Pentatlo Moderno;Sim;Sim
Feminino;SP;CAMPINAS;FAB;Terceiro Sargento;Não;Basquete;Sim;Sim
Masculino;;;FAB;Terceiro Sargento;Não;Basquete;Sim;Sim
Feminino;SP;Araraquara;FAB;Terceiro Sargento;Não;Basquete;Não;Sim
Masculino;PA;Ananindeua;MB;Terceiro Sargento;Não;Boxe;Não;Sim
Masculino;SP;Iperó ;MB;Terceiro Sargento;Não;Paraquedismo;Não;Sim
Masculino;SP;SJ Campos;FAB;Terceiro Sargento;Não;Judô;Não;Sim
Masculino;PR;Londrina;FAB;Terceiro Sargento;Não;Taekwondo;Sim;Sim
Masculino;;;EB;Soldado;Não;Triatlo;Sim;Sim
Masculino;BA;Salvador;MB;Terceiro Sargento;Não;Boxe;Não;Sim
Masculino;;;MB;Terceiro Sargento;Não;Vela;Não;Sim
Masculino;;;MB;Terceiro Sargento;Não;Vela;Não;Sim
Masculino;;;MB;Terceiro Sargento;Não;Vela;Não;Sim
Masculino;SP;São Paulo;MB;Terceiro Sargento;Sim;Boxe;Não;Sim
Feminino;;;MB;Terceiro Sargento;Não;Vela;Não;Sim
Feminino;;;FAB;Terceiro Sargento;Não;Basquete;Sim;Sim
Masculino;;;FAB;Terceiro Sargento;Não;Basquete;Sim;Sim
Feminino;;;EB;Cabo;Não;Atletismo;Sim;Sim
Feminino;;;FAB;Terceiro Sargento;Sim;Natação;Sim;Sim
Masculino;SP ;Sao paulo ;EB;Soldado;Não;Boxe;Sim;Sim
Feminino;RJ;C. De macacu;FAB;Terceiro Sargento;Não;Basquete;Não;Sim
Masculino;RJ;Niterói;MB;Terceiro Sargento;Não;Lutas Associadas (Wrestling);Sim;Sim
Masculino;SP;Santo André ;FAB;Terceiro Sargento;Não;Basquete;Sim;Sim
Masculino;SP;São Paulo;FAB;Terceiro Sargento;Sim;Atletismo;Sim;Sim
Feminino;;;EB;Terceiro Sargento;Não;Vôlei;Sim;Sim
Masculino;;;EB;Terceiro Sargento;Não;Orientação;Não;Sim
Feminino;;;EB;Terceiro Sargento;Não;Boxe;Sim;Sim
Feminino;SP;Mogi Mirim ;EB;Terceiro Sargento;Não;Paraquedismo;Não;Sim
Feminino;;;FAB;Terceiro Sargento;Não;Basquete;Sim;Sim
Feminino;MG;Uberlândia;EB;Terceiro Sargento;Não;Vôlei;Não;Sim
Feminino;;;EB;Terceiro Sargento;Não;Orientação;Não;Sim
Feminino;RS;Porto Alegre;MB;Terceiro Sargento;Não;Judô;Sim;Sim
Feminino;;;MB;Terceiro Sargento;Sim;Vela;Não;Sim
